,数据类型,缺失数量,缺失比例(%),唯一值数量
CustomerID,int64,0,0.0,5630
Churn,int32,0,0.0,2
Tenure,float64,0,0.0,36
PreferredLoginDevice,object,0,0.0,2
CityTier,int64,0,0.0,3
WarehouseToHome,float64,0,0.0,34
PreferredPaymentMode,object,0,0.0,5
Gender,object,0,0.0,2
HourSpendOnApp,float64,0,0.0,6
NumberOfDeviceRegistered,int64,0,0.0,6
PreferedOrderCat,object,0,0.0,5
SatisfactionScore,int64,0,0.0,5
MaritalStatus,object,0,0.0,3
NumberOfAddress,int64,0,0.0,15
Complain,int32,0,0.0,2
OrderAmountHikeFromlastYear,float64,0,0.0,16
CouponUsed,float64,0,0.0,17
OrderCount,float64,0,0.0,16
DaySinceLastOrder,float64,0,0.0,22
CashbackAmount,float64,0,0.0,2586
TenureGroup,category,0,0.0,4
IsMobileLogin,int32,0,0.0,2
